study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,completer,time,time_weeks,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,m_baseline_arm1,sd_baseline_arm1,n_baseline_arm1,m_baseline_arm2,sd_baseline_arm2,n_baseline_arm2,dich_type,event_arm1,event_arm2,totaln_arm1,totaln_arm2,.g,.g_se,condition_arm1.detail,condition_arm2.detail,condition_arm1.lumped_category,condition_arm1.intermediate_category,condition_arm1.meta_analysis,n_randomized_arm1,n_randomized_arm2,total_n_randomized,condition_arm1.psychotherapy_subclass,condition_arm1.treatment_description,condition_arm1.session_length,condition_arm1.frequency,condition_arm1.treatment_duration_detail,format,delivery_method,narrow_category,study_class,def_treatment_completion,percent_completed,psychotherapy_sessions_mean,psychotherapy_sessions_sd,psychotherapy_sessions_qual,military_status,percent_community,mean_age,country,female_percent,trauma_type,trauma_detail,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,rob,rob_numeric,arms_compared,year_added_to_ptsd_repository,intervention_group_ctr,design,outcome_assessment_type,statistical_analysis,g_data_source,precalc_g,precalc_g_se,intervention_group.arm1,intervention_group.arm2,year_added_to_repo,.id,ptsd_pubs_id,study_id,.log_rr,.log_rr_se,.event_arm1,.event_arm2,.totaln_arm1,.totaln_arm2,trtResponder,nTrt,ctrResponder,nCtr,logRR,seLogRR,logOR,seLogOR,full_ref
"Vera, 2011",PE,TAU,,,msd,CAPS,completer,post,16,clinician,36.2,23.61,5,76.14,22.2,7,53.2,8.81,5,73.29,18.42,7,,,,,,1.618816141,0.6862973254,Prolonged Exposure (PE),Treatment as usual (TAU),TF-CBT,Primarily exposure,Prim exposure,7,7,14,Trauma-focused,"Individual therapy delivered following the culturally adapted Spanish version of PE manual; this version includes language, idioms, and examples relevant to Latino culture. An addition, optional introductory session was provided with participants and spouse or partner, giving an overview of PTSD and the goals and methods of PE. PE therapy included psychoeducation, imaginal exposure, in vivo exposure, discussion of exposure and processing of traumatic memories, and homework with imaginal and in vivo exposure.",90 to 120 minutes,Weekly,,Individual,In Person,PE,Psychotherapy,completed all sessions,0.7143,,,,Community,1,45.8,U.S.,0,NR,NR,High,High,Low,Low,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,Mixed-effects regression with both linear and quadratic trends for time and baseline scores as covariate,Follow-up,1.618,0.708,A,B,2019,Vera_2011_precalcfromVA_CAPS_post_16.00_clinician_PE_TAU_NA_NA,38256,vera2011,,,,,,,2,5,0,7,Inf,Inf,Inf,Inf,"Vera M, Reyes-Rabanillo ML, Juarbe D, et al. Prolonged exposure for the treatment of Spanish-speaking Puerto Ricans with posttraumatic stress disorder: a feasibility study. BMC Res. Notes. 2011 Oct 17;4:415. doi: 10.1186/1756-0500-4-415. PMID: 22005187."
"Wagner, 2007",CBT without trauma focus,TAU,,,msd,PCL,itt,post,,self-report,36.5,13.5,4,57.7,21.3,4,54.2,17.2,4,55.5,11.9,4,,,,,,1.033820042,0.7670343326,Behavioral activation (BA),Treatment as usual (TAU),Non-trauma-focused,CBT without trauma focus,NTF-CBT,4,4,8,Non-Trauma-focused,"Identification and enactment of activities that are reinforcing to individual's long-term goals. Program includes identification of goals and activities, identification of patterns of avoidance that block attainment of these goals, and alternative coping strategies. Psychoeducation modified to include descriptions of PTSD symptoms and emphasize the role of avoidance in PTSD",60 to 90 minutes,,4 to 6 sessions total,Individual,In Person,CBT without trauma focus,Psychotherapy,,,5.75,0.5,,Community,1,33.5,U.S.,0.625,Accidents,NR,Some Concerns,Low,Low,High,Some Concerns,High,1,A vs B,2019,B,ps-ct,Self report,Residualized change scores,Follow-up,1.033,0.79,A,B,2019,Wagner_2007_precalcfromVA_PCL_post_NA_self-report_CBTwithouttraumafocus_TAU_NA_NA,32469,wagner2007,,,,,,,1,4,0,4,Inf,Inf,Inf,Inf,"Wagner AW, Zatzick DF, Ghesquiere A, et al. Behavioral activation as an early intervention for posttraumatic stress disorder and depression among physically injured trauma survivors. Cogn Behav Pract. 2007 Nov;14(4):341-9. doi: 10.1016/j.cbpra.2006.05.002."
"Wagner, 2019",CBT without trauma focus,TAU,,,msd,CAPS,itt,post,,clinician,54.4,22.98,30,70.13,25.68,24,75.88,15.15,42,82,15.72,38,,,,,,0.6402782121,0.2809063107,Behavioral activation (BA),Treatment as usual (TAU),Non-trauma-focused,CBT without trauma focus,NTF-CBT,42,38,80,Non-Trauma-focused,"Treatment following Bartell et al. 2001 protocol, including behavioral analyses for assessing avoidance patterns, activity scheduling and monitoring of reactions, present-centered strategies to decrease rumination, and psychoeducation",45 to 60 minutes,,8 sessions,Individual,In Person,CBT without trauma focus,Psychotherapy,,,6.65,2.88,,Veteran,0,30.06,U.S.,0.0625,Other,military-related,Some Concerns,Low,Some Concerns,Low,Low,Some Concerns,2,A vs B,2020,B,ps-ct,Structured Clinical Interview,Unclear/NR,Follow-up,0.64,0.281,A,B,2020,Wagner_2019_precalcfromVA_CAPS_post_NA_clinician_CBTwithouttraumafocus_TAU_NA_NA,52288,wagner2019,,,,,,,7,30,3,24,0.6241543090729939,0.6333959868758849,0.756326082181477,0.7531850932400939,"Wagner AW, Jakupcak M, Kowalski HM, et al. Behavioral activation as a treatment for posttraumatic stress disorder among returning veterans: a randomized trial. Psychiatr Serv. 2019 Oct 1;70(10):867-73. doi: 10.1176/appi.ps.201800572. PMID: 31337325."
"Wells, 2012",CBT without trauma focus,Waitlist,,,msd,PDS,itt,post,,self-report,16.8,16.4,9,34.1,4.7,10,32.7,7.4,10,37.3,5.6,10,,,,,,1.405388939,0.5177595324,Metacognitive Therapy,Waitlist,Non-trauma-focused,CBT without trauma focus,NTF-CBT,10,10,20,Non-Trauma-focused,"Manualized Intervention (Wells, 2009; Wells & Sembi, 2004) intends to modify metacognitive beliefs about rumination, worry, attention, and symptoms, and generate generic plans for coping with threat",,,8 sessions total,Individual,In Person,CBT without trauma focus,Psychotherapy,,,6.4,,,Community,1,37.4,U.K.,0.55,Mixed,"rape/sexual assault, community/school violence, accidents",Low,Low,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,Mixed-model ANOVA and independent t-test for change in mean score,Follow-up,1.405,0.525,A,B,2019,Wells_2012_precalcfromVA_PDS_post_NA_self-report_CBTwithouttraumafocus_Waitlist_NA_NA,38376,wells2012,,,,,,,4,9,0,10,Inf,Inf,Inf,Inf,"Wells A, Colbear JS. Treating posttraumatic stress disorder with metacognitive therapy: a preliminary controlled trial. J Clin Psychol. 2012 Apr;68(4):373-81. doi: 10.1002/jclp.20871. PMID: 24469928."
"Wells, 2015",CBT without trauma focus,Waitlist,Metacognitive Therapy A,Waitlist,msd,IES,completer,post,8,self-report,9.9,9.69,10,51.3,13.43,10,53.3,8.87,10,52.3,12.98,10,,,,,,3.385975999,0.7158692477,Metacognitive Therapy,Waitlist,Non-trauma-focused,CBT without trauma focus,NTF-CBT,11,10,32,Non-Trauma-focused,"Manualized intervention according to Wells & Sembi 2004 that teaches participant to postpone worry, rumination, and going over memories in response to trigger thoughts. Intervention also includes attention modification to shift individual out of threat-modes of processing",60 minutes,Weekly,,Individual,In Person,CBT without trauma focus,Psychotherapy,,,,,,Community,1,41.2,U.K.,0.375,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (fire)",Low,High,Low,High,Low,High,1,A vs C,2019,C,ps-ps-ct,Self report,ANCOVA and Hedges' g for change in mean score,Follow-up,3.386,0.743,A,C,2019,Wells_2015_precalcfromVA_IES_post_8.00_self-report_CBTwithouttraumafocus_Waitlist_MetacognitiveTherapyA_Waitlist,50330,wells2015,,,,,,,10,10,0,10,Inf,Inf,Inf,Inf,"Wells A, Walton D, Lovell K, et al. Metacognitive therapy versus prolonged exposure in adults with chronic post-traumatic stress disorder. Cognit Ther Res. 2015 February;39(1):70-80. doi: 10.1007/s10608-014-9636-6."
"Wells, 2015",CBT without trauma focus,Waitlist,Metacognitive Therapy A,Waitlist,msd,PDS,completer,post,8,self-report,10.4,6.98,10,39.2,8.85,10,37.2,8.93,11,38.3,8.74,10,,,,,,3.460850587,0.725562479,Metacognitive Therapy,Waitlist,Non-trauma-focused,CBT without trauma focus,NTF-CBT,11,10,32,Non-Trauma-focused,"Manualized intervention according to Wells & Sembi 2004 that teaches participant to postpone worry, rumination, and going over memories in response to trigger thoughts. Intervention also includes attention modification to shift individual out of threat-modes of processing",60 minutes,Weekly,,Individual,In Person,CBT without trauma focus,Psychotherapy,,,,,,Community,1,41.2,U.K.,0.375,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (fire)",Low,High,Low,High,Low,High,1,A vs C,2019,C,ps-ps-ct,Self report,ANCOVA and Hedges' g for change in mean score,Follow-up,3.46,0.754,A,C,2019,Wells_2015_precalcfromVA_PDS_post_8.00_self-report_CBTwithouttraumafocus_Waitlist_MetacognitiveTherapyA_Waitlist,50330,wells2015,,,,,,,9,10,0,10,Inf,Inf,Inf,Inf,"Wells A, Walton D, Lovell K, et al. Metacognitive therapy versus prolonged exposure in adults with chronic post-traumatic stress disorder. Cognit Ther Res. 2015 February;39(1):70-80. doi: 10.1007/s10608-014-9636-6."
"Wells, 2015",PE,Waitlist,Prolonged Exposure (PE) B,Waitlist,msd,IES,completer,post,8,self-report,23.7,16.28,10,51.3,13.43,10,51.2,8.16,10,52.3,12.98,10,,,,,,1.771323681,0.5343346433,Prolonged Exposure (PE),Waitlist,TF-CBT,Primarily exposure,Prim exposure,11,10,32,Trauma-focused,Trauma-focused CBT according to manual by Marks et al. (1998),60 minutes,Weekly,,Individual,In Person,PE,Psychotherapy,,,,,,Community,1,41.2,U.K.,0.375,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (fire)",Low,High,Low,High,Low,High,1,B vs C,2019,C,ps-ps-ct,Self report,ANCOVA and Hedges' g for change in mean score,Follow-up,1.771,0.544,B,C,2019,Wells_2015_precalcfromVA_IES_post_8.00_self-report_PE_Waitlist_ProlongedExposure(PE)B_Waitlist,50330,wells2015,,,,,,,5,10,0,10,Inf,Inf,Inf,Inf,"Wells A, Walton D, Lovell K, et al. Metacognitive therapy versus prolonged exposure in adults with chronic post-traumatic stress disorder. Cognit Ther Res. 2015 February;39(1):70-80. doi: 10.1007/s10608-014-9636-6."
"Wells, 2015",PE,Waitlist,Prolonged Exposure (PE) B,Waitlist,msd,PDS,completer,post,8,self-report,18.3,13.31,10,39.2,8.85,10,32.8,8.85,11,38.3,8.74,10,,,,,,1.771065341,0.5343113037,Prolonged Exposure (PE),Waitlist,TF-CBT,Primarily exposure,Prim exposure,11,10,32,Trauma-focused,Trauma-focused CBT according to manual by Marks et al. (1998),60 minutes,Weekly,,Individual,In Person,PE,Psychotherapy,,,,,,Community,1,41.2,U.K.,0.375,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (fire)",Low,High,Low,High,Low,High,1,B vs C,2019,C,ps-ps-ct,Self report,ANCOVA and Hedges' g for change in mean score,Follow-up,1.771,0.544,B,C,2019,Wells_2015_precalcfromVA_PDS_post_8.00_self-report_PE_Waitlist_ProlongedExposure(PE)B_Waitlist,50330,wells2015,,,,,,,4,10,0,10,Inf,Inf,Inf,Inf,"Wells A, Walton D, Lovell K, et al. Metacognitive therapy versus prolonged exposure in adults with chronic post-traumatic stress disorder. Cognit Ther Res. 2015 February;39(1):70-80. doi: 10.1007/s10608-014-9636-6."
"Yehuda, 2014",PE,Other,,,dich,CAPS,completer,post,12,clinician,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS for DSM-IV,11,2,25,12,0.7380886489,0.4813760098,Prolonged Exposure (PE),Other,TF-CBT,Primarily exposure,Prim exposure,37,15,52,Trauma-focused,"Administered according to manualized protocol (Foa et al, 2007); includes education about reactions to trauma, breathing retraining, exposure to trauma memories and situation the patient avoids, and discussion of thoughts and feelings related to exposure exercises.",90 minutes,Weekly,,Individual,In Person,PE,Psychotherapy,"completed, did not choose to discontinue treatment",0.6757,,,,Veteran,0,48.9,U.S.,0.1081,Combat-related,NR,Some Concerns,High,Some Concerns,Low,Low,High,1,A vs B,2019,,ps-ct,,,,0.7380886489,0.4813760098,A,,2019,Yehuda_2014_dich_CAPS_post_12.00_NA_PE_Other_NA_NA,42868,yehuda2014,0.9707789172,0.6837951137,11,2,25,12,,,,,,,,,"Yehuda R, Pratchett LC, Elmes MW, et al. Glucocorticoid-related predictors and correlates of post-traumatic stress disorder treatment response in combat veterans. Interface Focus. 2014 Oct 6;4(5):20140048. doi: 10.1098/rsfs.2014.0048. PMID: 25285201."
"Yurtsever, 2018",EMDR,Waitlist,,,msd,IES,completer,post,0.29,self-report,48.22,17.34,18,59.1,17.37,29,62.44,9.05,28,62.45,1.227,32,,,,,,0.6162714039,0.3069487747,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,28,29,63,Trauma-focused,"Manualized intervention (Shapiro 2013) based on Recent Traumatic Episode Protocol (Shapiro and Laub, 2008) that includes procedures and measures for containment and safety",4 hours,Daily,,Group,In Person,EMDR,Psychotherapy,,,,,,Community,1,37.45,Turkey,0.766,Terrorism/political violence/forced displacement,NR,Some Concerns,High,High,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,Repeated measures ANOVA for change in mean score; independent samples t-test for between-group comparison at each time point; chi-square test for diagnostic change,Follow-up,0.616,0.307,A,B,2019,Yurtsever_2018_precalcfromVA_IES_post_0.29_self-report_EMDR_Waitlist_NA_NA,51112,yurtsever2018,,,,,,,3,18,2,29,0.8823891801984737,0.8621455904643299,0.9932517730102834,0.9680067339833112,"Yurtsever A, Konuk E, Akyüz T, et al. An Eye Movement Desensitization and Reprocessing (EMDR) group intervention for Syrian refugees with post-traumatic stress symptoms: results of a randomized controlled trial. Front Psychol. 2018 Jun 12;9:493. doi: 10.3389/fpsyg.2018.00493. PMID: 29946275."
"Zang, 2014",NET,Waitlist,Narrative Exposure Therapy (NET) A,Waitlist,msd,IES,itt,post,2,self-report,17,6.72,10,54.7,10.81,10,50.9,10.65,10,56.8,10.91,10,,,,,,4.011714051,0.7991435997,Narrative Exposure Therapy (NET),Waitlist,TF-CBT,Primarily exposure,Prim exposure,10,10,30,Trauma-focused,Standard Narrative Exposure Therapy; patients constructed detailed autobiography with special focus on traumatic experiences; encouraged to relive emotions while reporting events; received written report of narrative,60 to 90 minutes,About twice weekly,flexible number of total sessions,Individual,In Person,NET,Psychotherapy,completed entire course of treatment and followup,1,4,,,Community,1,53.63,China,0.9,Natural or manmade disasters,NR,Low,Low,Low,High,Low,High,1,A vs C,2019,C,ps-ps-ct,Self report,ANCOVA and paired t-tests for score changes,Follow-up,4.011,0.834,A,C,2019,Zang_2014_precalcfromVA_IES_post_2.00_self-report_NET_Waitlist_NarrativeExposureTherapy(NET)A_Waitlist,46042,zang2014,,,,,,,9,10,0,10,Inf,Inf,Inf,Inf,"Zang Y, Hunt NC, Cox T. Adapting narrative exposure therapy for Chinese earthquake survivors: a pilot randomised controlled feasibility study. BMC Psychiatry. 2014 Oct 3;14:262. doi: 10.1186/s12888-014-0262-3. PMID: 25927297."
"Zang, 2014",NET,Waitlist,Narrative Exposure Therapy (NET) B,Waitlist,msd,IES,itt,post,1,self-report,16.9,4.93,10,54.7,10.81,10,52.1,9.06,10,56.8,10.91,10,,,,,,4.309233213,0.8402993279,Narrative Exposure Therapy (NET),Waitlist,TF-CBT,Primarily exposure,Prim exposure,10,10,30,Trauma-focused,"Revised Narrative Exposure Therapy adapted to a single traumatic event; patient first constructed detailed earthquake narrative, then completed chronologic autobiography; encouraged to relive emotions while reporting events; final reading of autobiography without written report",60 to 120 minutes,Every 1 to 2 days,flexible total number of sessions,Individual,In Person,NET,Psychotherapy,completed entire course of treatment and followup,1,,,,Community,1,53.63,China,0.9,Natural or manmade disasters,NR,Low,Low,Low,High,Low,High,1,B vs C,2019,C,ps-ps-ct,Self report,ANCOVA and paired t-tests for score changes,Follow-up,4.309,0.878,B,C,2019,Zang_2014_precalcfromVA_IES_post_1.00_self-report_NET_Waitlist_NarrativeExposureTherapy(NET)B_Waitlist,46042,zang2014,,,,,,,10,10,0,10,Inf,Inf,Inf,Inf,"Zang Y, Hunt NC, Cox T. Adapting narrative exposure therapy for Chinese earthquake survivors: a pilot randomised controlled feasibility study. BMC Psychiatry. 2014 Oct 3;14:262. doi: 10.1186/s12888-014-0262-3. PMID: 25927297."
"Zemestani, 2022",TF-CBT,Waitlist,,,msd,PCL,itt,post,12,self-report,37.04,4.52,24,55.25,5.48,24,53.25,6.31,24,53.95,6.06,24,,,,,,3.565901095,0.4692973223,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,24,24,48,Trauma-focused,"Trauma-focused CBT following an age and culturally adapted manual for Kurdish-speaking adult women; adaptations related to language and included use of local concepts to explain key components of the treatment. Sessions started with eliciting recent trauma recall, then practicing a trauma-processing protocol involving emotional regulation techniques. Delivered in 12 weekly 90-minute individual sessions.",90 minutes,Weekly,,Individual,In Person,TF-CBT,Psychotherapy,Completed treatment,0.9167,,,,Community,1,32.91,Iraq,1,Mixed,Terrorism/political violence/forced displacement; Other (violent death of a relative; experienced or witnessed explosions; witnessed murder of nonfamily members; other life-threatening events),Some Concerns,Low,Low,High,Low,High,1,A vs B,2023,B,ps-ct,Self report,Mixed-effects model repeated-measures ANOVA,Follow-up,3.566,0.476,A,B,2023,Zemestani_2022_precalcfromVA_PCL_post_12.00_self-report_TF-CBT_Waitlist_NA_NA,1592753,zemestani2022,,,,,,,0,24,0,24,,Inf,,Inf,"Zemestani M, Mohammed AF, Ismail AA, et al. A Pilot Randomized Clinical Trial of a Novel, Culturally Adapted, Trauma-Focused Cognitive-Behavioral Intervention for War-Related PTSD in Iraqi Women. Behav Ther. 2022 Jul;53(4):656-72. doi: 10.1016/j.beth.2022.01.009. PMID: 35697429"
"Zlotnick, 1997",Other non-trauma-focused,Waitlist,,,msd,DTS,completer,post,15,self-report,45.76,34.12,16,73.06,29.86,17,66.88,22,16,74.69,25.83,17,,,,,,0.8325199617,0.3638083512,Affect management therapy,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,23,23,46,Non-Trauma-focused,"Intervention based on Linehan's Dialectical Behavior Therapy (Linehan, 1993) and Matsakis's Treatment Guide for Post-Traumatic Stress Disorder (Matsakis, 1994). Intervention includes psychoeducation, skill building, and application skills. Materials covered include dissociation, flashbacks, ""safe"" sleep, identification of emotions, crisis planning, anger management, techniques for distraction, self-soothing, distress tolerance, and relaxation. Participants also received individual psychotherapy with medication management.",2 hours,Weekly,,Group,In Person,Other non-trauma-focused,Psychotherapy,,,,,,Community,1,39,U.S.,1,Child sexual abuse,NR,Some Concerns,High,High,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,ANCOVA,Follow-up,0.832,0.365,A,B,2019,Zlotnick_1997_precalcfromVA_DTS_post_15.00_self-report_Othernon-trauma-focused_Waitlist_NA_NA,13731,zlotnick1997,,,,,,,6,16,2,17,1.159236910484545,0.7384735183166028,1.504077396776274,0.9128709291752768,"Zlotnick C, Shea MT, Rosen KH, et al. An affect-management group for women with posttraumatic stress disorder and histories of childhood sexual abuse. J Trauma Stress. 1997 Jul;10(3):425-36. doi: 10.1023/A:1024841321156. PMID: 9246650."
